はぁ…ひぃ…ふぅ… 	 (Help me...)
ふん、まだまだ 	 Right after you, lass.
もう諦めなよ 	 Why won't ye quit, ye bloody sea cow!?
「漁師ギルド」では、漁獲量の卸値の調整、 港湾施設の整備など、漁師個人では解決できない事柄を、 協力して解決しているんだ。 - 最近じゃあ、都市外から来た漁師も受け入れてるよ。 勝手に漁場を荒らされたら、たまったもんじゃないし…… それに技術交流にも繋がるからね。 	 Without the Fishermen's Guild, the pullers wouldn't have a place to gather and discuss issues like setting a wholesale price for fish or organizing repairs for waterfront facilities. - And since we started taking in foreign fisherfolk, the existence of the guild is especially important. Aside from teaching these outsiders the ways of Limsa's waters, we all get a chance to learn new tricks from one another.
次どこ行きます～？ 	 But what of all the Qiqirn?
ソルトストランドはどうだい？ 	 There be fish aplenty off the Salt Strand.
漁師ギルドは、エオルゼアで最大級の 大きな生け簀を持っていましてね。 いっつも、採れたお魚いっぱいなんです。 - 釣果がまったくないときは、そこでこっそり…… いえ、なんでもありませんよ。 	 Our guild 'as a fine collection o' live fish in the pool there. It's always squirmin' with the latest catch, ye see. - An' when the sea's been unkind with 'er bounty, I just drop a line in all sneaky-like an'─ Ahem, fine weather we're 'avin', ain't it?
お魚さん、来い来い～ 	 Call me that again and this bucket goes on your head.
ほっほっほっ… 	 A little more over here, lemoncake.
今日こそ勝つ… 	 The Navigator smiles upon me today!
押されてんぞー！？ 	 She's merely laughin' at your paltry catch!
うふふふ… 	 Well then, milord, what is your assessment?
うちの船に来ないか？ 	 I love ye! Come and be me saltwife!
も…もう少し 	 I's a...a bodice assessor wiv Mealvaan's Gate.
俺は、外洋交易船「オライオン号」の船長アルドスキフ。 雇われ船長を続けて、早うんじゅうねん…… もう雇われ船長としては、ベテランといえるな。 - いざ船を買うほどの金がたまったところで、霊災だ…… さすがに、船主の船を奪うような形は気が引けてな。 未だに、船主のためにがんばってるのさ。 	 I'm the hired captain of the Orion. She's a fine vessel, true, but a hired captain can love his ship only as much as a paid bride can love her betrothed. - A ship of my own is all I've ever wanted. Was a gil away from buying one when the Calamity struck, but how can I complain when so many lost so much more?
きゅるきゅる 	    ???
きゅるるるぅ 	 Hisss!
積荷を書いてください 	 I am going to need you to sign this import slip.
ここ「メルヴァン税関公社」では、 海都「リムサ・ロミンサ」に入港する船舶を検査し、 違法物の調査や、関税の徴収にあたってますにゃ。 - 港湾設備を整備し、航海の安全を守るためには、 なにかとお金がかかりますから、すべての船乗りに 平等で負担してもらうというわけですにゃ。 	 All that would pass into Limsa Lominsa must first pass through Mealvaan's Gate. We levy excises and disallow contraband for the welfare of the market. - Trade can only be free when buyers possess the necessary assurances. Without the rule of law, the streets would be overrun by traffickers and cutthroats.
食料品の輸出入には、いつも気を遣いますね。 何せ、食料品というのは、悪くなりやすいですから…… おかげでいつも忙しいですが、やりがいはあります。 	 Being a customs officer often feels like a thankless job. On any given day, a dozen strangers will accuse you of high-sea robbery. I must constantly remind myself that what I do is for the good of the nation.
困りますぅ 	 How about you take a crate for yourself?
没収だってぇ！？ 	 Those dream flowers cost us a fortune!
ピカピカもりもりっちゃ 	 Five box o' sparklies... Ten sack o' shinies...
シュコォ…おけんさドキドキ 	 Longstand makes gobbie- legs shake and quake.
我らの商品、は傭兵、だ 	 Have you...bigger quill?
訓練中だ、静かにな 	 Keep your voice low, lest you disturb the summons.
臨検の作戦は… 	 An undercover intelli- gencer? It might just work.
おとり作戦とか 	 What if we were to plant an assessor on the ship?
はいはい宝石50箱っと… 	 Could you be any more specific, sir?
はぁぁぁ！ 	 Very good! He's located the milkroot!
現在、巴術による積み荷検査の訓練中だ。 集中が必要なので、悪いが話しかけないでいただきたい。 	 Please, not another word! If I am ever to become an official assessor, this training exercise must be the focus of my full and undivided attention!
受付は、この先です！ 	 The reception hall lies straightaway.
リムサ・ロミンサ領の港を使用する船は、 積み荷検査と、関税支払が義務付けられています。 まずは、このメルヴァン税関公社で受付をお願いします。 	 All vessels that make use of Limsa Lominsa's ports must submit to a cargo inspection and pay the duties incurred. Please direct all inquiries and complaints to the front desk of Mealvaan's Gate.
どうした？ 「溺れた海豚亭」に着いたら、 マスターの「バデロン」に話をするんだぞ。 	 Were you able to find the Drowning Wench? Baderon there will help get you started here in Limsa Lominsa.
ここは総合タワー「ミズンマスト」の最下層、 防御施設「ブルワークホール」だ。 - 「ブルワーク」ってのは、 船のフチにある波よけの鋼板のことさ。 ここは敵という波を食い止める、最後の砦ってことさ。 	 This is Bulwark Hall, the lowest level of the Mizzenmast. In case you aren't familiar with the nautical term, a bulwark is the plating that prevents waves from swamping a ship's decks.  - Replace “waves” with “hordes of howling beastmen,” and you'll get an idea of the purpose for which this chamber exists.
ヒャ～キッツイぜ… 	 I needs me a scrag to do me scrag work.
♪ヨホホィ嵐に負けねぇ♪ 	 Used to be we had Qiqirn swab the decks.
キョキョルン、しょうばい、大好きっちゃ。 ちゃりちゃり、もりもり、集めるっちゃ。 みせみせ、もつもつ、夢夢っちゃ。 	 Kyokyoroon select best selection, priceless prices for shoppers to shop! Customer's custom is truest truth!
シュコォ……シュコォ…… わなし　い～ゴブリン　スウィ～トニクス！ おてがみ　い～ぱい　かきかき　いそがしの！ 	 Pshhh... Shkohhh... Sweetnix write many letters, but never find right words!
実、に見事、だ 	 Two score blood sausages. Raw.
この広場の東西に連なる国際街商通りは、 交易商人が集う、商いの中心地だ。 - 七つの海を渡ってきた商品を 目利きの商人が、ところ狭しと並べてるぜ。 店をのぞいて、異国の風を感じるのもオツなもんさ。 	 The east and west arms of Hawkers' Alley hold within their bustling embrace all manner of wondrous wares and exotic commodities. - Our merchants keep their shelves well stocked and their prices reasonable─spend but a moment to browse the selections, and you will find much at which to marvel!
東西の国際街商通りをつなぐ広場だ。 遠方より渡ってきた交易商人も多いのでな、 黒渦団が監視にあたっているわけだ。 	 This here's Hawkers' Round, where East meets West. The place bustles with buyers and sellers both.
私は「ブルゲール商会」で 副会長を務めるバンゴ・ザンゴ。 悪いが勤務中でね……。 	 Just because I, Bango Zango, preside as second chair over the Brugaire Consortium, does not mean I have the time to consort with all and sundry.
ふむ……やはりコスタ・デル・ソルに比べると、 魚の品揃えはリムサ・ロミンサのほうが豊富ですね。 - しかし、都市から輸送する手間を考えると、 屋敷で漁師を雇った方がいいかもしれません……。 こちらのギルドで、漁師の斡旋はやっているのでしょうか？ 	 Well, I must admit that the variety of the catch found in Costa del Sol pales in comparison to the teeming fish markets of Limsa Lominsa. - And if one were to consider the dilemmas inherent in transporting freshly caught cargo from the city, it may prove wiser to employ a fisherman directly at the manor. Do you happen to know if the guild here is willing to hire out individuals talented with line and lure?
